job_class,sum
建筑工程验收,3
促销主管/督导/巡店,4
网络销售/在线销售,61
发动机工程师/技术员,1
漆工,2
喷塑工,2
钳工,30
外贸经理/主管,53
审计经理/主管,18
审计专员/助理,17
船务/空运陆运,1
化学老师,2
网店客服,14
供应链经理/主管,42
供应链专员/助理,29
实验室负责人/工程师,27
可测性设计工程师/技术员,31
Java开发工程师/技术员,137
中学教师,8
小学教师,7
总裁助理,77
总经理助理,77
行政总监,4
客服经理/主管,44
安防系统工程师/技术员,16
数控编程,30
注塑工,29
热能工程师/技术员,13
产品工程师,154
夹具工程师/技术员,19
石油天然气技术人员,5
审核员,15
房地产投资管理,14
网络安全工程师/技术员,25
媒介专员/助理,4
公关经理/主管,23
网页设计师,17
项目总监,10
工程师/技术员,3
互联网营销师,4
IT经理/主管,31
建筑项目专员/助理,8
促销员/导购员,10
科研人员,22
证券交易员,9
企业秘书/董事会秘书,22
水处理工程师/技术员,16
车工,13
配置管理工程师/技术员,7
认证工程师/技术员,10
技术员,5
飞行器设计与制造,7
汽车装配工艺工程师/技术员,3
数字后端工程师/技术员,62
MEMS工程师/技术员,19
产品总监,14
食品/饮料研发,3
建筑工程师/技术员,4
建筑安装施工员,7
房产项目配套工程师/技术员,3
合伙人,3
合规经理/主管,20
合规专员/助理,10
语音识别工程师/技术员,16
深度学习工程师/技术员,26
有线传输工程师/技术员,5
电信交换工程师/技术员,3
通信网络工程师/技术员,15
脚本开发工程师/技术员,5
财务分析员,28
电脑维修,4
材料工程师/技术员,20
大数据开发工程师/技术员,18
防损员/内保,1
培训经理/主管,22
计量工程师/技术员,6
包装设计,14
铣工,5
PHP开发工程师/技术员,11
预结算员,7
废气处理工程师/技术员,3
科研管理人员,9
医药技术研发管理人员,2
医疗器械销售代表,4
设备经理/主管,14
影视策划/制作人员,10
后期制作,9
印刷工,4
轨道交通工程师/技术员,3
船舶工程师/技术员,6
网站维护工程师/技术员,10
公关总监,4
环保工程师/技术员,8
首席执行官CEO/总裁/总经理,6
区域销售总监,14
化验员,1
汽车安全性能工程师/技术员,11
电子设备工程师/技术员,3
人事总监,26
机器学习工程师/技术员,22
首席运营官COO,2
医疗器械市场推广,7
失效分析工程师/技术员,41
项目专员/助理,15
导演/编导,7
茶艺师,1
餐饮店长/经理,1
金融/经济研究员,5
快递员,7
工程造价师,10
预结算经理,10
清洁工,5
专业顾问,23
汽车质量工程师/技术员,13
融资经理/主管,2
冲压工程师/技术员,9
电商经理/主管,16
咨询员,3
投资/理财顾问,3
财务总监,26
展览/展示/店面设计,7
HTML5开发工程师/技术员,26
采购总监,8
政府事务管理,11
家用电器/数码产品研发,5
封装工程师/技术员,95
计算机辅助设计工程师/技术员,13
iOS开发工程师/技术员,11
EDA工程师/技术员,28
研究员,2
动画/3D设计,12
律师,7
法律顾问,5
媒介销售,1
研发工程师/技术员,3
电商总监,6
汽车设计工程师/技术员,10
自然语言处理,2
人力资源信息系统专员/助理,5
数据分析师,26
猎头/人才中介,6
生产/营运,2
物业维修员,3
校长,1
制程工程师/技术员,3
水工,2
广告创意经理/主管,3
护士/护理,1
物业管理,2
质量工程师/技术员,17
记者,2
后端制作,3
汽车项目经理/主管,7
视觉设计师,16
运维工程师/技术员,91
前期质量工程师/技术员,3
验光师,1
电镀工,3
语种翻译,1
运维开发,21
汽车修理工,3
收银员,4
医药销售专员/助理,1
PCB工程师/技术员,18
光伏系统工程师/技术员,7
通信测试工程师/技术员,17
ETL开发工程师/技术员,7
BI工程师/技术员,9
门店经理/店长,5
调研员,5
幕墙工程师/技术员,2
研究生,61
光通信工程师/技术员,13
数据治理工程师/技术员,3
生产总监,6
广告创意专员/助理,2
多媒体设计,4
平面设计经理/主管,4
证券分析师,4
综合门诊/全科医生,2
运营经理/主管,28
基站工程师/技术员,1
保险理赔,2
客服总监,4
运营总监,8
游戏动画师,1
过程质量工程师/技术员,3
移动端测试,2
兼职,1
数据运营,7
