job_class,sum
校长,1
制程工程师/技术员,3
水工,2
广告创意经理/主管,3
护士/护理,1
集成电路IC设计,1
物业管理,1
印刷工,3
物流/仓储,1
客户质量工程师/技术员,14
记者,2
后端开发,3
班车司机,2
汽车项目经理/主管,7
视觉设计师,16
质量工程师/技术员,4
运维工程师/技术员,91
前期质量工程师/技术员,3
验光师,1
电镀工,2
语种翻译,1
运维开发,21
物流主管,1
档案管理员,7
销售行政及商务销售专员/助理,1
通信设备工程师/技术员,7
汽车电工,1
汽车修理工,3
统计员文员,2
搜索算法工程师/技术员,1
收银员,4
通信销售工程师/技术员,5
医药销售专员/助理,1
客户管理,1
PCB工程师/技术员,18
光伏系统工程师/技术员,7
通信测试工程师/技术员,17
版图工程师/技术员,1
ETL开发工程师/技术员,7
BI工程师/技术员,9
门店经理/店长,5
调研员,5
幕墙工程师/技术员,2
研究生,61
光通信工程师/技术员,13
电商专员,4
数据治理工程师/技术员,3
生产总监,6
锅炉工程师/技术员,1
技术研发经理/主管技术总监/经理,1
广告创意专员/助理,2
多媒体设计,4
切割,1
平面设计经理/主管,4
证券分析师,4
综合门诊/全科医生,2
运营经理/主管,28
基站工程师/技术员,1
保险理赔,2
客服总监,4
运营总监,8
游戏动画师,1
机修工维修工程师/技术员,3
过程质量工程师/技术员,3
物业,1
通信产品经理/主管,10
移动端测试,2
楼宇自动化安防,1
兼职,1
数据运营,7
网站编辑,1
地质勘测工程师/技术员,1
策略发展总监,5
爬虫开发工程师/技术员,2
内容运营,12
自动化测试,2
运营,1
志愿者/社会工作者,1
技术,3
广告创意总监,1
艺术总监,2
证券交易员,3
通信项目经理/主管,7
UI设计师网页设计师,1
房地产项目/策划经理,5
房地产投资管理,3
会展经理/主管,9
数据仓库工程师/技术员,7
店长助理,1
活动执行,1
营业部总经理/副总经理/副总裁,2
营业部总经理,2
冲压工,4
网站架构设计师,2
企业策划人员,4
Unity3d开发工程师/技术员,10
总装工程师/技术员,1
团购业务员,3
数据采集工程师/技术员,4
数控编程设备工程师/技术员,1
平面设计总监,1
