job_class,sum
行政专员/助理体系工程师,1
电气/电器工程师电子技术研发工程师,1
射频工程师电子工程师/技术员,8
集成电路IC设计/应用工程师数字前端工程师,23
生产经理/车间主任,31
产品经理/主管,153
电子/电器维修工程师/技师技工,1
电子技术研发工程师售前/售后技术支持工程师,1
客服专员/助理销售代表,2
工程/设备工程师机械工程师,3
电子工程师/技术员汽车电子工程师,1
集成电路IC设计/应用工程师射频工程师,11
生产计划/物料管理物流专员/助理,1
渠道/分销经理区域销售经理,2
渠道/分销经理,29
激光/光电子技术市场分析/调研人员,1
售前/售后技术支持工程师电工,1
建筑制图/模型/渲染室内设计,1
技术总监/经理售前/售后技术支持经理,1
集成电路IC设计/应用工程师半导体器件工程师,1
技术支持/维护工程师网络管理,3
会计会计经理/会计主管,5
成本经理/成本主管会计,1
贸易/外贸专员/助理光源与照明工程,1
自动控制工程师/技术员软件工程师,1
质量管理/测试经理供应商管理,1
硬件工程师售前/售后技术支持工程师,1
税务专员/助理,5
市场/营销/拓展总监,32
日语翻译韩语/朝鲜语翻译,1
招聘专员/助理,90
技术文员/助理经理助理/秘书,2
售前/售后技术支持工程师维修工程师,4
质量管理/测试主管质检员/测试员,3
质检员/测试员质量管理/测试工程师,24
电气/电器工程师,10
技术支持/维护工程师多媒体开发工程师,1
销售代表知识产权/专利/商标,1
工程/机械绘图员版图设计工程师,1
技术文档工程师技术文员/助理,3
机械工程师自动控制工程师/技术员,1
首席技术执行官CTO/首席信息官CIO技术总监/经理,3
技术研发经理/主管总工程师/副总工程师,2
结构工程师项目经理/主管,1
机电工程师产品工艺/制程工程师,1
半导体技术电子工程师/技术员,8
智能大厦/综合布线/安防/弱电,29
区域销售经理渠道/分销经理,3
建筑工程管理/项目经理工程监理,1
产品/品牌经理产品经理/主管,1
建筑制图/模型/渲染,4
项目执行/协调人员,40
行政经理/主管/办公室主任,32
人事专员薪资福利专员/助理,2
行政专员/助理商务助理,3
质量管理/测试经理体系工程师,3
技术研发经理/主管机械工程师,2
建筑工程管理/项目经理项目管理,2
法务主管/专员,46
生产主管生产计划/物料管理,5
行政专员/助理人事助理,8
销售总监市场/营销/拓展总监,5
机械工程师工程/机械绘图员,12
售后服务/客户服务,22
高级硬件工程师技术总监/经理,2
工程/设备工程师设备主管,1
仓库管理员物料主管/专员,10
集成电路IC设计/应用工程师嵌入式软件开发,4
销售行政助理业务分析专员/助理,4
水利/水电工程师,4
激光/光电子技术电子技术研发工程师,3
电子工程师/技术员版图设计工程师,5
网店店长美工/电商设计师,1
软件工程师C/C++开发工程师,20
质量管理/测试工程师半导体技术,2
仓库管理员仓库经理/主管,8
总工程师/副总工程师项目经理/主管,2
销售经理业务拓展主管/经理,19
技术研发工程师电子工程师/技术员,2
自动控制工程师/技术员电子技术研发工程师,1
电子工程师/技术员电路工程师/技术员,11
装配工程师/技师机械工程师,1
行政专员/助理质量管理/测试工程师,1
业务拓展主管/经理区域销售经理,3
质量管理/测试经理质量管理/测试主管,11
招聘专员/助理招聘经理/主管,3
网络推广专员网络推广经理/主管,1
大客户管理客户经理/主管,4
化工实验室研究员/技术员化工技术应用/化工工程师,5
电子工程师/技术员产品工艺/制程工程师,3
环境/健康/安全工程师,40
行政专员/助理采购助理,3
市场/营销/拓展经理媒介经理,1
工程/设备工程师技术支持/维护工程师,2
售前/售后技术支持工程师销售行政专员,2
售前/售后技术支持经理售前/售后技术支持主管,7
电子工程师/技术员集成电路IC设计/应用工程师,5
技术研发经理/主管工程/设备经理,1
电声/音响工程师/技术员音效师,1
活动策划产品/品牌专员,1
激光/光电子技术仪器/仪表/计量分析师,2
电子/电器维修工程师/技师电子工程师/技术员,9
生产经理/车间主任工厂经理/厂长,2
产品工艺/制程工程师结构工程师,2
电工电气工程师/技术员,1
产品工艺/制程工程师产品/品牌专员,1
硬件工程师集成电路IC设计/应用工程师,2
工程/设备经理生产经理/车间主任,1
电子工程师/技术员自动控制工程师/技术员,9
生产主管生产经理/车间主任,5
激光/光电子技术技术研发工程师,4
电脑操作员/打字员,3
环境/健康/安全经理/主管环境/健康/安全工程师,3
市场分析/调研人员,11
市场企划经理/主管,19
经理助理/秘书行政专员/助理,5
行政专员/助理韩语/朝鲜语翻译,1
